,source,new_dog_rating,dog_counts,rating_numerator,rating_denominator,p1_conf,p2_conf,p3_conf,retweet_count,favorite_count,developmentalStage,dogTypeMax,dogConfsMax
2,Twitter for iPhone,12.0,1.0,12.0,10.0,0.716012,0.078253,0.0313789,4101.0,24740.0,no-entry,Chihuahua,0.716012
3,Twitter for iPhone,13.0,1.0,13.0,10.0,0.17027799999999998,0.168086,0.0408359,8538.0,41663.0,no-entry,paper_towel,0.168086
4,Twitter for iPhone,12.0,1.0,12.0,10.0,0.555712,0.22577,0.175219,9264.0,39834.0,no-entry,basset,0.555712
5,Twitter for iPhone,13.0,1.0,13.0,10.0,0.425595,0.116317,0.07690219999999999,3076.0,20000.0,no-entry,Chesapeake_Bay_retriever,0.425595
7,Twitter for iPhone,13.0,1.0,13.0,10.0,0.566142,0.17840599999999998,0.0765069,18650.0,64692.0,no-entry,Pomeranian,0.566142
8,Twitter for iPhone,13.0,1.0,13.0,10.0,0.487574,0.193054,0.118184,4215.0,27495.0,no-entry,Irish_terrier,0.487574
10,Twitter for iPhone,13.0,1.0,13.0,10.0,0.957979,0.0138835,0.00816748,7245.0,30305.0,no-entry,Samoyed,0.957979
13,Twitter for iPhone,12.0,1.0,12.0,10.0,0.99165,0.00212864,0.00149818,4489.0,26855.0,no-entry,French_bulldog,0.99165
15,Twitter for iPhone,13.0,1.0,13.0,10.0,0.626152,0.194742,0.0273507,5355.0,25003.0,no-entry,whippet,0.626152
16,Twitter for iPhone,12.0,1.0,12.0,10.0,0.714719,0.120184,0.105506,4448.0,28752.0,no-entry,golden_retriever,0.714719
18,Twitter for iPhone,13.0,1.0,13.0,10.0,0.700377,0.166511,0.111411,3530.0,19649.0,no-entry,Siberian_husky,0.700377
20,Twitter for iPhone,12.0,1.0,12.0,10.0,0.995026,0.000931908,0.000903211,3453.0,21510.0,no-entry,French_bulldog,0.995026
21,Twitter for iPhone,13.0,1.0,13.0,10.0,0.821664,0.0875815,0.026236400000000003,5323.0,29817.0,no-entry,basset,0.821664
24,Twitter for iPhone,13.0,1.0,13.0,10.0,0.330741,0.275645,0.134203,10288.0,33295.0,no-entry,Mexican_hairless,0.330741
25,Twitter for iPhone,12.0,1.0,12.0,10.0,0.733942,0.0350295,0.029704700000000007,5892.0,30204.0,no-entry,Samoyed,0.733942
26,Twitter for iPhone,13.0,1.0,13.0,10.0,0.793469,0.143528,0.0322529,7688.0,34743.0,no-entry,Chihuahua,0.793469
27,Twitter for iPhone,13.0,1.0,13.0,10.0,0.309706,0.186136,0.08634630000000001,3250.0,11908.0,no-entry,kuvasz,0.309706
29,Twitter for iPhone,12.0,1.0,12.0,10.0,0.999201,0.000361178,7.55616e-05,3163.0,20946.0,pupper,French_bulldog,0.999201
33,Twitter for iPhone,12.0,1.0,12.0,10.0,0.972494,0.00663012,0.00623915,6730.0,32319.0,no-entry,Blenheim_spaniel,0.972494
34,Twitter for iPhone,13.0,1.0,13.0,10.0,0.369275,0.265835,0.134697,6357.0,35588.0,no-entry,pug,0.369275
37,Twitter for iPhone,13.0,1.0,13.0,10.0,0.8124819999999999,0.0717125,0.0557697,4334.0,21676.0,no-entry,malamute,0.8124819999999999
40,Twitter for iPhone,13.0,1.0,13.0,10.0,0.5464060000000001,0.404291,0.0440019,4815.0,24038.0,no-entry,pug,0.5464060000000001
41,Twitter for iPhone,14.0,1.0,14.0,10.0,0.993225,0.00321648,0.00208089,5592.0,26689.0,no-entry,Pembroke,0.993225
45,Twitter for iPhone,13.5,1.0,5.0,10.0,0.943082,0.032409,0.00550072,9853.0,45423.0,no-entry,golden_retriever,0.943082
47,Twitter for iPhone,13.0,1.0,13.0,10.0,0.949562,0.045947900000000014,0.00247094,6607.0,36782.0,no-entry,golden_retriever,0.949562
48,Twitter for iPhone,13.0,1.0,13.0,10.0,0.466778,0.406044,0.07341439999999999,3876.0,23686.0,no-entry,Eskimo_dog,0.466778
49,Twitter for iPhone,12.0,1.0,12.0,10.0,0.85005,0.074257,0.015579399999999997,4864.0,27992.0,pupper,Labrador_retriever,0.85005
50,Twitter for iPhone,13.0,1.0,13.0,10.0,0.542982,0.251988,0.107699,6021.0,27591.0,no-entry,Pembroke,0.542982
51,Twitter for iPhone,13.0,1.0,13.0,10.0,0.762211,0.0989849,0.0171995,11478.0,44459.0,no-entry,golden_retriever,0.762211
54,Twitter for iPhone,13.0,1.0,13.0,10.0,0.529012,0.25000300000000003,0.16073900000000002,10554.0,50007.0,no-entry,Saluki,0.529012
59,Twitter for iPhone,12.0,1.0,12.0,10.0,0.791416,0.0613929,0.0337257,3780.0,21041.0,no-entry,Pembroke,0.791416
60,Twitter for iPhone,12.0,1.0,12.0,10.0,0.913255,0.0263286,0.00937082,6219.0,28225.0,no-entry,golden_retriever,0.913255
61,Twitter for iPhone,12.0,1.0,12.0,10.0,0.238525,0.104256,0.0525803,4171.0,26766.0,no-entry,Chihuahua,0.238525
63,Twitter for iPhone,13.0,1.0,13.0,10.0,0.813507,0.146654,0.00948502,3465.0,22094.0,no-entry,basset,0.813507
65,Twitter for iPhone,12.0,1.0,12.0,10.0,0.479896,0.124353,0.0733202,3157.0,23166.0,no-entry,German_short-haired_pointer,0.479896
67,Twitter for iPhone,12.0,1.0,12.0,10.0,0.663601,0.0334961,0.0188266,3094.0,16594.0,no-entry,tricycle,0.0334961
75,Twitter for iPhone,13.0,1.0,13.0,10.0,0.32042,0.215975,0.12850699999999998,1280.0,7669.0,no-entry,basset,0.32042
76,Twitter for iPhone,14.0,1.0,14.0,10.0,0.839097,0.07879939999999999,0.0152434,6772.0,41596.0,no-entry,French_bulldog,0.839097
77,Twitter for iPhone,13.0,1.0,13.0,10.0,0.8379559999999999,0.0620342,0.0405991,18941.0,78996.0,no-entry,Chesapeake_Bay_retriever,0.8379559999999999
79,Twitter for iPhone,12.0,1.0,12.0,10.0,0.995368,0.00193621,0.000467919,3779.0,22490.0,no-entry,basset,0.995368
81,Twitter for iPhone,12.0,1.0,12.0,10.0,0.93112,0.0686982,8.17379e-05,5539.0,26831.0,no-entry,Pembroke,0.93112
82,Twitter for iPhone,12.0,1.0,12.0,10.0,0.575751,0.24097,0.08893480000000001,3324.0,20460.0,pupper,bloodhound,0.575751
