,tweet_id,source,text,rating_numerator,rating_denominator,pets_name,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count,date,time,developmentalStage,dogTypeMax,dogConfsMax,new_dog_rating,dog_counts
2,891815181378084864,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12.0,10.0,Archie,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True,24740.0,4101.0,2017-07-31 00:00:00,2018-10-13 00:18:00,no-entry,Chihuahua,0.716012,12.0,1.0
3,891689557279858688,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13.0,10.0,Darla,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1.0,paper_towel,0.17027799999999998,False,Labrador_retriever,0.168086,True,spatula,0.0408359,False,41663.0,8538.0,2017-07-30 00:00:00,2018-10-13 15:58:00,no-entry,paper_towel,0.168086,13.0,1.0
4,891327558926688256,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12.0,10.0,Franklin,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,basset,0.555712,True,English_springer,0.22577,True,German_short-haired_pointer,0.175219,True,39834.0,9264.0,2017-07-29 00:00:00,2018-10-13 16:00:00,no-entry,basset,0.555712,12.0,1.0
5,891087950875897856,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13.0,10.0,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1.0,Chesapeake_Bay_retriever,0.425595,True,Irish_terrier,0.116317,True,Indian_elephant,0.07690219999999999,False,20000.0,3076.0,2017-07-29 00:00:00,2018-10-13 00:08:00,no-entry,Chesapeake_Bay_retriever,0.425595,13.0,1.0
7,890729181411237888,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13.0,10.0,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2.0,Pomeranian,0.566142,True,Eskimo_dog,0.17840599999999998,True,Pembroke,0.0765069,True,64692.0,18650.0,2017-07-28 00:00:00,2018-10-13 00:22:00,no-entry,Pomeranian,0.566142,13.0,1.0
8,890609185150312448,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13.0,10.0,Zoey,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,Irish_terrier,0.487574,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True,27495.0,4215.0,2017-07-27 00:00:00,2018-10-13 16:25:00,no-entry,Irish_terrier,0.487574,13.0,1.0
10,890006608113172480,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13.0,10.0,Koda,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1.0,Samoyed,0.957979,True,Pomeranian,0.0138835,True,chow,0.00816748,True,30305.0,7245.0,2017-07-26 00:00:00,2018-10-13 00:31:00,no-entry,Samoyed,0.957979,13.0,1.0
13,889638837579907072,Twitter for iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12.0,10.0,Ted,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1.0,French_bulldog,0.99165,True,boxer,0.00212864,True,Staffordshire_bullterrier,0.00149818,True,26855.0,4489.0,2017-07-25 00:00:00,2018-10-13 00:10:00,no-entry,French_bulldog,0.99165,12.0,1.0
15,889278841981685760,Twitter for iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,13.0,10.0,Oliver,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1.0,whippet,0.626152,True,borzoi,0.194742,True,Saluki,0.0273507,True,25003.0,5355.0,2017-07-24 00:00:00,2018-10-13 00:19:00,no-entry,whippet,0.626152,13.0,1.0
16,888917238123831296,Twitter for iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,12.0,10.0,Jim,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1.0,golden_retriever,0.714719,True,Tibetan_mastiff,0.120184,True,Labrador_retriever,0.105506,True,28752.0,4448.0,2017-07-23 00:00:00,2018-10-13 00:22:00,no-entry,golden_retriever,0.714719,12.0,1.0
