carat,cut,cut_ord,color,clarity,clarity_ord,price,bid
1.22,Premium,4,G,SI1,3,6989.26,4892.482
1.01,Good,2,G,VS2,5,5814.329999999999,4070.030999999999
0.71,Very Good,3,I,VS2,5,3448.5299999999997,2413.9709999999995
1.01,Ideal,5,D,SI2,2,4926.629999999999,3448.640999999999
0.27,Ideal,5,H,VVS2,6,517.0100000000002,361.90700000000015
0.52,Premium,4,G,VS1,4,1554.1600000000003,1087.912
1.01,Premium,4,F,SI1,3,5222.529999999999,3655.770999999999
0.59,Ideal,5,D,SI1,3,1847.17,1293.019
1.01,Good,2,E,SI1,3,4906.329999999999,3434.430999999999
2.03,Ideal,5,F,SI2,2,13507.89,9455.523
1.35,Premium,4,H,VS2,5,8990.95,6293.665
0.74,Ideal,5,G,SI1,3,3109.12,2176.3839999999996
0.9,Premium,4,D,SI1,3,4297.1,3007.9700000000003
0.3,Good,2,G,VS2,5,-158.9000000000001,-111.23000000000006
1.01,Good,2,F,VS2,5,5814.329999999999,4070.030999999999
1.02,Good,2,H,SI2,2,4536.46,3175.522
2.05,Premium,4,G,SI1,3,13972.049999999997,9780.434999999998
0.54,Ideal,5,I,SI1,3,1426.5200000000004,998.5640000000002
0.72,Ideal,5,G,VS2,5,3848.8599999999997,2694.2019999999998
2.0,Premium,4,J,SI2,2,13097.4,9168.179999999998
1.57,Premium,4,G,SI2,2,9479.81,6635.866999999999
0.89,Premium,4,G,SI1,3,4212.969999999999,2949.0789999999993
0.33,Premium,4,I,VVS2,6,863.69,604.583
0.3,Very Good,3,G,IF,8,1361.1999999999998,952.8399999999998
1.79,Very Good,3,I,VS2,5,12534.57,8774.198999999999
1.11,Ideal,5,E,SI2,2,5767.93,4037.551
0.79,Premium,4,F,SI1,3,3371.6700000000005,2360.1690000000003
0.71,Very Good,3,F,SI1,3,2540.5299999999997,1778.3709999999996
0.73,Ideal,5,G,SI1,3,3024.99,2117.493
0.9,Very Good,3,G,VS2,5,5047.0,3532.8999999999996
1.31,Good,2,I,VS1,4,7884.2300000000005,5518.961
1.01,Ideal,5,F,SI2,2,4926.629999999999,3448.640999999999
0.35,Premium,4,D,SI1,3,-330.0500000000002,-231.0350000000001
0.41,Premium,4,G,VS2,5,1082.73,757.911
0.32,Premium,4,E,VS2,5,325.55999999999995,227.89199999999994
0.38,Ideal,5,D,VS1,4,534.44,374.108
1.21,Premium,4,I,SI2,2,6451.129999999999,4515.790999999999
1.0,Premium,4,F,SI1,3,5138.4,3596.8799999999997
0.56,Ideal,5,H,VS2,5,2502.7800000000007,1751.9460000000004
1.0,Good,2,J,SI1,3,4822.2,3375.5399999999995
0.32,Premium,4,H,VVS1,7,1233.56,863.492
1.7,Ideal,5,D,SI1,3,11185.6,7829.92
2.26,Very Good,3,D,SI2,2,15126.679999999997,10588.675999999998
0.32,Premium,4,D,VS2,5,325.55999999999995,227.89199999999994
0.4,Very Good,3,F,VVS1,7,1748.5000000000002,1223.95
2.13,Very Good,3,G,SI2,2,14032.989999999998,9823.092999999997
0.7,Premium,4,G,VS2,5,3522.4999999999995,2465.7499999999995
2.01,Premium,4,H,SI1,3,13635.529999999997,9544.870999999997
1.15,Premium,4,G,SI1,3,6400.3499999999985,4480.244999999999
0.71,Ideal,5,E,VS1,4,3310.7299999999996,2317.5109999999995
1.35,Premium,4,G,VVS2,6,9444.95,6611.465
0.51,Ideal,5,F,SI1,3,1174.13,821.8910000000001
0.34,Ideal,5,D,IF,8,2013.92,1409.744
1.58,Ideal,5,G,VS1,4,10630.04,7441.028
2.05,Good,2,G,SI2,2,13201.849999999999,9241.294999999998
0.41,Ideal,5,H,VS1,4,786.8299999999999,550.781
0.6,Fair,1,F,SI1,3,1298.9,909.23
0.31,Ideal,5,H,IF,8,1761.5300000000002,1233.0710000000001
0.64,Very Good,3,D,SI1,3,1951.6199999999997,1366.1339999999998
0.71,Premium,4,J,SI1,3,2698.6299999999997,1889.0409999999997
0.55,Ideal,5,F,VS2,5,2418.6500000000005,1693.0550000000003
1.26,Very Good,3,G,VVS2,6,8529.68,5970.776
1.03,Premium,4,G,VS1,4,5844.789999999999,4091.352999999999
1.01,Premium,4,H,SI2,2,4768.529999999999,3337.970999999999
0.25,Very Good,3,E,VVS2,6,32.55000000000018,22.785000000000124
0.9,Premium,4,H,SI1,3,4297.1,3007.9700000000003
0.45,Premium,4,D,VS1,4,965.2499999999999,675.6749999999998
0.3,Ideal,5,F,IF,8,1677.4,1174.18
0.9,Good,2,D,SI2,2,3526.8999999999996,2468.8299999999995
0.8,Very Good,3,F,VS2,5,4205.700000000001,2943.9900000000002
0.33,Premium,4,G,VS1,4,-44.309999999999945,-31.01699999999996
0.71,Ideal,5,G,SI1,3,2856.7299999999996,1999.7109999999996
0.7,Premium,4,D,SI1,3,2614.4999999999995,1830.1499999999996
0.78,Ideal,5,H,SI2,2,2991.6400000000003,2094.148
0.7,Very Good,3,F,SI2,2,2002.3999999999994,1401.6799999999996
0.38,Ideal,5,F,VVS2,6,1442.44,1009.708
0.54,Premium,4,J,VS2,5,2176.4200000000005,1523.4940000000004
0.25,Good,2,E,VVS2,6,-125.55000000000018,-87.88500000000012
2.5,Good,2,J,VS2,5,18349.7,12844.789999999999
0.72,Good,2,D,VS1,4,2920.5599999999995,2044.3919999999996
0.41,Ideal,5,E,VS2,5,1240.83,868.5809999999999
2.03,Ideal,5,G,SI2,2,13507.89,9455.523
1.24,Premium,4,D,SI1,3,7157.52,5010.264
0.92,Premium,4,G,SI2,2,4011.36,2807.9519999999998
1.0,Fair,1,E,SI2,2,4210.1,2947.07
0.57,Ideal,5,F,VS1,4,2132.91,1493.0369999999998
0.54,Ideal,5,D,SI1,3,1426.5200000000004,998.5640000000002
1.08,Premium,4,H,SI2,2,5357.4400000000005,3750.208
0.54,Very Good,3,H,VVS1,7,2926.3200000000006,2048.4240000000004
0.63,Very Good,3,F,VS2,5,2775.49,1942.8429999999996
1.58,Premium,4,D,SI1,3,10017.94,7012.558
0.3,Very Good,3,D,VS2,5,-0.8000000000001819,-0.5600000000001273
1.56,Ideal,5,G,VVS2,6,11369.78,7958.846
0.26,Very Good,3,F,VVS2,6,116.68000000000029,81.6760000000002
0.57,Ideal,5,E,VS2,5,2586.91,1810.8369999999998
0.39,Ideal,5,F,IF,8,2434.57,1704.199
1.13,Very Good,3,G,SI2,2,5619.989999999999,3933.992999999999
1.09,Ideal,5,H,SI1,3,6053.67,4237.5689999999995
1.52,Ideal,5,E,SI2,2,9217.26,6452.081999999999
1.01,Very Good,3,E,VS1,4,5518.429999999999,3862.9009999999994
1.21,Premium,4,H,SI2,2,6451.129999999999,4515.790999999999
0.5,Ideal,5,H,SI1,3,1090.0,763.0
1.33,Premium,4,E,SI2,2,7460.6900000000005,5222.483
0.52,Very Good,3,D,VS2,5,1850.0600000000002,1295.0420000000001
0.33,Ideal,5,H,SI2,2,-794.21,-555.947
1.06,Premium,4,G,SI2,2,5189.18,3632.426
0.9,Premium,4,F,SI2,2,3843.1,2690.1699999999996
0.92,Ideal,5,H,VS1,4,5077.46,3554.2219999999998
1.54,Premium,4,D,VS2,5,10589.42,7412.593999999999
1.0,Premium,4,E,SI2,2,4684.4,3279.0799999999995
1.2,Ideal,5,G,VS1,4,7433.1,5203.17
1.0,Ideal,5,E,SI1,3,5296.5,3707.5499999999997
0.33,Very Good,3,E,SI1,3,-656.4100000000001,-459.487
0.38,Ideal,5,E,IF,8,2350.44,1645.308
0.55,Ideal,5,H,VVS2,6,2872.6500000000005,2010.8550000000002
0.31,Premium,4,J,VS2,5,241.4300000000003,169.0010000000002
1.13,Ideal,5,D,VS1,4,6844.189999999999,4790.932999999999
0.33,Premium,4,D,SI1,3,-498.30999999999995,-348.81699999999995
